trial,method,weight_weather_risk_score,weight_spatial_risk_score,train_accuracy,train_precision,train_recall,train_f1,train_positive_rate,train_selected_count,train_proxy_total,train_captured_proxy_count,train_top_rate,train_threshold,valid_accuracy,valid_precision,valid_recall,valid_f1,valid_positive_rate,valid_selected_count,valid_proxy_total,valid_captured_proxy_count,valid_top_rate,valid_threshold
65,optuna,0.5755298832637332,0.42447011673626683,0.5817,0.45,0.3476693278392995,0.3922708121458666,0.3,3000,3883,1350,0.3,0.5241578080155804,0.6971,0.010333333333333333,0.34065934065934067,0.020058233581365253,0.3,3000,91,31,0.3,0.5241578080155804
97,optuna,0.577082790775959,0.4229172092240409,0.5817,0.45,0.3476693278392995,0.3922708121458666,0.3,3000,3883,1350,0.3,0.5236258480506302,0.6971,0.010333333333333333,0.34065934065934067,0.020058233581365253,0.3,3000,91,31,0.3,0.5236258480506302
228,optuna,0.5759816946722195,0.4240183053277805,0.5817,0.45,0.3476693278392995,0.3922708121458666,0.3,3000,3883,1350,0.3,0.5239680547900578,0.6971,0.010333333333333333,0.34065934065934067,0.020058233581365253,0.3,3000,91,31,0.3,0.5239680547900578
243,optuna,0.5768827459126564,0.42311725408734363,0.5817,0.45,0.3476693278392995,0.3922708121458666,0.3,3000,3883,1350,0.3,0.5237062449133862,0.6971,0.010333333333333333,0.34065934065934067,0.020058233581365253,0.3,3000,91,31,0.3,0.5237062449133862
105,optuna,0.574464624466226,0.42553537553377385,0.5815,0.44966666666666666,0.347411795003863,0.39198024117390673,0.3,3000,3883,1349,0.3,0.5245461180389493,0.6971,0.010333333333333333,0.34065934065934067,0.020058233581365253,0.3,3000,91,31,0.3,0.5245461180389493
122,optuna,0.6034062583682659,0.39659374163173405,0.5815,0.44966666666666666,0.347411795003863,0.39198024117390673,0.3,3000,3883,1349,0.3,0.520548822571529,0.6971,0.010333333333333333,0.34065934065934067,0.020058233581365253,0.3,3000,91,31,0.3,0.520548822571529
181,optuna,0.574947027984751,0.42505297201524905,0.5815,0.44966666666666666,0.347411795003863,0.39198024117390673,0.3,3000,3883,1349,0.3,0.5243292019224626,0.6971,0.010333333333333333,0.34065934065934067,0.020058233581365253,0.3,3000,91,31,0.3,0.5243292019224626
179,optuna,0.6054925707334516,0.3945074292665484,0.5811,0.449,0.34689672933299,0.39139909922998695,0.3,3000,3883,1347,0.3,0.5207976875777537,0.6971,0.010333333333333333,0.34065934065934067,0.020058233581365253,0.3,3000,91,31,0.3,0.5207976875777537
199,optuna,0.572649296655656,0.4273507033443441,0.5807,0.4483333333333333,0.3463816636621169,0.3908179572860671,0.3,3000,3883,1345,0.3,0.5249235443902243,0.6971,0.010333333333333333,0.34065934065934067,0.020058233581365253,0.3,3000,91,31,0.3,0.5249235443902243
227,optuna,0.606303265834356,0.393696734165644,0.5807,0.4483333333333333,0.3463816636621169,0.3908179572860671,0.3,3000,3883,1345,0.3,0.5206261552268717,0.6971,0.010333333333333333,0.34065934065934067,0.020058233581365253,0.3,3000,91,31,0.3,0.5206261552268717
208,optuna,0.6065304113239852,0.39346958867601484,0.5805,0.448,0.3461241308266804,0.3905273863141072,0.3,3000,3883,1344,0.3,0.5205713843109213,0.6971,0.010333333333333333,0.34065934065934067,0.020058233581365253,0.3,3000,91,31,0.3,0.5205713843109213
201,optuna,0.5709618257550915,0.4290381742449085,0.5803,0.44766666666666666,0.34586659799124386,0.3902368153421473,0.3,3000,3883,1343,0.3,0.5254036886667388,0.6969,0.01,0.32967032967032966,0.019411193788417987,0.3,3000,91,30,0.3,0.5254036886667388
296,optuna,0.5712020553102001,0.4287979446898,0.5803,0.44766666666666666,0.34586659799124386,0.3902368153421473,0.3,3000,3883,1343,0.3,0.5253078735743328,0.6969,0.01,0.32967032967032966,0.019411193788417987,0.3,3000,91,30,0.3,0.5253078735743328
101,optuna,0.5703076231834436,0.42969237681655637,0.5801,0.44733333333333336,0.34560906515580736,0.38994624437018743,0.3,3000,3883,1342,0.3,0.5256942502793615,0.6967,0.009666666666666667,0.31868131868131866,0.018764153995470722,0.3,3000,91,29,0.3,0.5256942502793615
126,optuna,0.5704256682169244,0.4295743317830756,0.5801,0.44733333333333336,0.34560906515580736,0.38994624437018743,0.3,3000,3883,1342,0.3,0.5256265489469839,0.6967,0.009666666666666667,0.31868131868131866,0.018764153995470722,0.3,3000,91,29,0.3,0.5256265489469839
205,optuna,0.6070972067588961,0.3929027932411037,0.5799,0.447,0.34535153232037086,0.38965567339822754,0.3,3000,3883,1341,0.3,0.5204822142042419,0.6971,0.010333333333333333,0.34065934065934067,0.020058233581365253,0.3,3000,91,31,0.3,0.5204822142042419
133,optuna,0.6227735369393322,0.37722646306066776,0.5793,0.446,0.3445789338140613,0.3887839604823478,0.3,3000,3883,1338,0.3,0.5163126358524311,0.6971,0.010333333333333333,0.34065934065934067,0.020058233581365253,0.3,3000,91,31,0.3,0.5163126358524311
244,optuna,0.6196189398253186,0.3803810601746815,0.5793,0.446,0.3445789338140613,0.3887839604823478,0.3,3000,3883,1338,0.3,0.5171958782124048,0.6971,0.010333333333333333,0.34065934065934067,0.020058233581365253,0.3,3000,91,31,0.3,0.5171958782124048
175,optuna,0.6203966932845467,0.3796033067154532,0.5791,0.44566666666666666,0.3443214009786248,0.3884933895103879,0.3,3000,3883,1337,0.3,0.5169924840377734,0.6971,0.010333333333333333,0.34065934065934067,0.020058233581365253,0.3,3000,91,31,0.3,0.5169924840377734
221,optuna,0.6199190902813139,0.38008090971868613,0.5791,0.44566666666666666,0.3443214009786248,0.3884933895103879,0.3,3000,3883,1337,0.3,0.517125740343574,0.6971,0.010333333333333333,0.34065934065934067,0.020058233581365253,0.3,3000,91,31,0.3,0.517125740343574
113,optuna,0.5683108192845938,0.4316891807154061,0.5791,0.44566666666666666,0.3443214009786248,0.3884933895103879,0.3,3000,3883,1337,0.3,0.5264452312738974,0.6959,0.008333333333333333,0.27472527472527475,0.016175994823681657,0.3,3000,91,25,0.3,0.5264452312738974
224,optuna,0.5684113818966855,0.4315886181033145,0.5791,0.44566666666666666,0.3443214009786248,0.3884933895103879,0.3,3000,3883,1337,0.3,0.5264104762666144,0.6959,0.008333333333333333,0.27472527472527475,0.016175994823681657,0.3,3000,91,25,0.3,0.5264104762666144
